NO,AREA,DSGN_INDS,GHG_EMS_2016,ENG_CNSM_2016,GHG_EMS_2017,ENG_CNSM_2017,GHG_EMS_2018,ENG_CNSM_2018,GHG_EMS_2019,ENG_CNSM_2019,GHG_EMS_2020,ENG_CNSM_2020
222,전라남도,조선,"141,089","2,518.00","104,547","1,795.00","82,717","1,424.00","96,465","1,611.00","23,013",364.5
223,전라남도,철강,"19,351",335,"17,860",309,"19,334",334,"20,481",353,"18,113",313
224,전라남도,폐기물,"168,084",532.3,"162,043",603.3,"13,744",724,"126,598",778,"130,617",696.3
225,전라북도,건물,"24,464",581,"25,169",494.3,"24,532",484.7,"23,626",469.3,"22,010",441
226,전라북도,교통,"30,111",441.4,"29,131",428,"28,182",415,"23,817",353,"18,695",280.5
229,전라북도,비철금속,"56,765","1,025.80","59,644","1,102.30","73,719","1,356.70","70,950","1,319.40","68,285","1,283.20"
230,전라북도,산업단지,"1,179,519","13,389.30","1,021,947","15,499.00","669,060","11,355.00","685,381","12,626.00","193,543","3,526.60"
231,전라북도,석유화학,"174,771","3,079.30","144,084","3,604.00","180,479","3,262.00","182,510","3,233.00","17,383",326
232,전라북도,섬유,"21,834",448,"18,593",381.5,"13,338",273.5,"11,645",239,"10,290",211
233,전라북도,시멘트,"23,057",397,"23,900",416,"21,377",383,"20,892",373,"16,333",300
234,전라북도,유리,"20,093",411.5,"20,043",410,"19,640",402.5,"20,642",423,"19,342",396.5
235,전라북도,음식료품,"26,898",610.3,"27,256",675,"38,720",908,"58,357","1,336.00","87,953","1,965.70"
236,전라북도,자동차,"20,203",376.5,"22,472",429.3,"23,357",450.3,"21,876",422.5,"14,560",277.5
238,전라북도,제조업,"20,203",358.3,"20,406",369.5,"21,401",378,"13,678",356.5,"16,600",388
239,전라북도,제지,"183,987","3,006.90","140,792","3,117.00","134,373","3,091.00","60,461","1,024.00","18,288",336
241,전라북도,철강,"31,610",606.5,"47,120",931,"44,688",879.7,"42,508",838.3,"19,950",348
242,전라북도,폐기물,"130,181","4,656.40","138,426","14,003.40","157,563",617.8,"124,734",677.2,"131,540",710
245,제주,음식료품,"28,574",586,"29,174",598,"28,112",576,"26,629",545,"26,864",550
246,제주,폐기물,"302,230","2,818.00","362,822","2,958.00","428,787","3,389","316,197","3,166.00","216,608","3,104.00"
247,제주,항공,"219,776","3,148.00","211,608","3,033.00","217,079","3,113","228,824","3,281.00","414,886","1,377.30"
248,충청남도,건물,"15,835",322,"15,228",310,"14,828",302,"13,532",275,"12,193",248
249,충청남도,교통,"27,697",393.5,"28,620",407,"29,574",421,"22,615",321,"15,292",217.5
250,충청남도,기계,"20,351",399,"21,710",419.5,"23,109",449,"20,254",396,"20,903",403.8
251,충청남도,디스플레이,"2,227,407","37,431.00","40,257",825,"45,987",944,"48,159",989,"50,433","1,036.10"
252,충청남도,반도체,"31,394",642.6,"31,048",635.1,"28,901",590.6,"36,794",735,"46,842",914.8
253,충청남도,발전에너지,"14,380,005","182,436.60","13,059,423","148,032.00","1,455,330","167,476.00","11,754,899","133,123.00","43,461",865
254,충청남도,비철금속,"21,396",369.7,"23,656",407.3,"22,428",389,"21,574",368.7,"18,649",341.3
255,충청남도,산업단지,"312,763","4,345.00","360,535","4,947.00","225,519","3,143.50","159,410","2,286.00","444,515","7,000.60"
256,충청남도,석유화학,"821,186","16,827.20","540,944","11,636.00","550,297","11,885.00","401,964","8,568.00","68,377",948.5
257,충청남도,수도,"89,223","1,825.00","49,406","1,011.00","89,999","1,821.00","87,741","1,797.00","85,539","1,773.30"
258,충청남도,시멘트,"29,001",561.7,"28,677",551.3,"25,223",490.7,"24,373",466.5,"23,551",443.5
259,충청남도,요업,"49,226",913,"42,824",771,"56,235",978,"32,295",538,"18,546",296
260,충청남도,유리,"152,525","2,977.30","110,957","2,160.70","106,748","2,092.60","123,854","2,430.00","23,957",447
262,충청남도,자동차,"43,762",867.3,"39,014",766,"38,639",763,"37,710",742,"21,069",411.2
